Asset Id,Asset Unique Id,Parent Asset Id,Date Created,External Asset Ref,External Asset Created On,External Asset Updated On,Client Asset Id,Client Date Created,Client Last Modified,Asset Type,Category Name,Asset Status,Compliance Status,Site Name,Sub Block Name,Zone Name,Location Name,
10491,2TW_2736_TOWYN WAY,,2022-01-18 14:48:16,,,,,,,,,Assigned,,21 Towyn Way,,1st Floor ,LR Bedroom,
10557,EF3,,2022-01-26 15:26:46,,,,,,,,,Un-assigned,,,,,,
10568,8WD_2728_CO2,,2022-01-31 15:18:33,,,,,,,,,Assigned,,80 Westwood Drive,,Ground Floor ,Hallway,
10573,TC-WR1,,2022-01-31 15:44:28,,,,,,,,,Un-assigned,,,,,,
10585,FHC_2719_TD,,2022-02-03 15:07:14,,,,,,,,,Un-assigned,,Fairview House/White Cottage,,Ground Floor ,Utility Room,
10586,FHC_2719_EF,,2022-02-03 15:13:58,,,,,,,,,Un-assigned,,Fairview House/White Cottage,,Ground Floor ,Utility Room,
10587,FHC_2719_EF1,,2022-02-03 15:20:40,,,,,,,,,Assigned,,Fairview House/White Cottage,,1st Floor ,SB Bedroom/En suite,
10588,FHC_2719_EF2,,2022-02-03 15:45:34,,,,,,,,,Assigned,,Fairview House/White Cottage,,1st Floor ,WC,
10589,FHC_2719_EF3,,2022-02-04 09:02:52,,,,,,,,,Un-assigned,,Fairview House/White Cottage,,2nd Floor,Wetroom,
10590,TC_HWO1,,2022-02-04 09:14:58,,,,,,,Water Outlet,Water,Assigned,,Ty Cornel,,00 - Ground Floor,Kitchen,
10592,TC_HWO2,,2022-02-07 11:19:11,,,,,,,Water Outlet,Water,Assigned,,Ty Cornel,,00 - Ground Floor,Utility,
10593,TC_HWO3,,2022-02-07 11:23:14,,,,,,,Water Outlet,Water,Assigned,Compliant,Ty Cornel,,00 - Ground Floor,WC,
10594,BOSTOCK - CH01,,2022-02-07 11:54:05,,,,,,,Central Heating,Gas,Assigned,,Bostock,,Loft area ,,
10596,BOSTOCK - FEX01,,2022-02-07 12:13:33,,,,,,,Fire Extinguisher,Fire,Assigned,Compliant,Bostock,,Ground Floor,Hallway,
10597,BOSTOCK - FIRE BLANKET,,2022-02-07 12:17:47,,,,,,,Fire Blanket,Fire,Assigned,,Bostock,,Ground Floor,Kitchen,
10599,TC_HWO4,,2022-02-07 12:53:38,,,,,,,Water Outlet,Water,Assigned,,Ty Cornel,,01 - First Floor,Bathroom,
10601,BOSTOCK - FA1,,2022-02-07 13:23:18,,,,,,,Fire Alarm,Fire,Un-assigned,Compliant,Bostock,,Ground Floor,Hallway,
10603,TC- DG02,,2022-02-07 14:57:54,,,,,,,Doorguard,Maintenance,Assigned,,Ty Cornel,,00 - Ground Floor,Kitchen,
10604,TC-C02,,2022-02-08 14:28:07,,,,,,,C0 Monitor,Maintenance,Assigned,,Ty Cornel,,01 - First Floor,Bedroom 2,
10605,TC-FIRE BLANKET,,2022-02-08 14:42:20,,,,,,,Fire Blanket,Fire,Un-assigned,,Ty Cornel,,00 - Ground Floor,Kitchen,
10606,TC-EML01,,2022-02-08 14:44:06,,,,,,,Emergency Lights,Fire,Assigned,Compliant,Ty Cornel,,00 - Ground Floor,Porch,
10607,TC-EML02,,2022-02-08 14:45:10,,,,,,,Emergency Lights,Fire,Assigned,Not Compliant,Ty Cornel,,00 - Ground Floor,Lounge,
10608,TC-EML03,,2022-02-08 14:46:50,,,,,,,Emergency Lights,Fire,Assigned,Compliant,Ty Cornel,,00 - Ground Floor,Kitchen,
10609,TC-EML04,,2022-02-08 14:48:26,,,,,,,Emergency Lights,Fire,Assigned,Compliant with recommendations,Ty Cornel,,00 - Ground Floor,Office,
10610,TC-EML05,,2022-02-08 14:51:18,,,,,,,Emergency Lights,Fire,Un-assigned,Compliant,Ty Cornel,,01 - First Floor,Stairs and Landing,
10611,TC-EXF01,,2022-02-08 14:53:27,,,,,,,Extractor Fan,Maintenance,Un-assigned,,Ty Cornel,,00 - Ground Floor,Utility,
10612,TC-FEX01,,2022-02-08 14:56:05,,,,,,,Fire Extinguisher,Fire,Un-assigned,Compliant with recommendations,Ty Cornel,,00 - Ground Floor,Porch,
10613,TC-FEX02,,2022-02-08 14:58:38,,,,,,,Fire Extinguisher,Fire,Un-assigned,,Ty Cornel,,00 - Ground Floor,Office,
10614,TC-LR01,,2022-02-08 15:01:12,,,,,,,Tumble Dryer,Fire,Un-assigned,Compliant,Ty Cornel,,00 - Ground Floor,Utility,
10615,TC-FD01,,2022-02-08 15:02:25,,,,,,,Fire Doors,Fire,Un-assigned,,Ty Cornel,,00 - Ground Floor,Porch,
10616,TC-FD02,,2022-02-08 15:03:19,,,,,,,Fire Doors,Fire,Un-assigned,,Ty Cornel,,00 - Ground Floor,Lounge,
10617,TC-FD03,,2022-02-08 15:05:40,,,,,,,Fire Doors,Fire,Un-assigned,,Ty Cornel,,00 - Ground Floor,Office,
10618,TC-FD04,,2022-02-08 15:06:54,,,,,,,Fire Doors,Fire,Un-assigned,,Ty Cornel,,00 - Ground Floor,Utility,
10619,TC-FD05,,2022-02-08 15:07:58,,,,,,,Fire Doors,Fire,Un-assigned,,Ty Cornel,,01 - First Floor,Bedroom 1,
10620,TC-FD06,,2022-02-08 15:08:47,,,,,,,Fire Doors,Fire,Un-assigned,,Ty Cornel,,01 - First Floor,Bedroom 2,
10621,TC-FD07,,2022-02-08 15:09:43,,,,,,,Fire Doors,Fire,Un-assigned,,Ty Cornel,,01 - First Floor,Bedroom 3,
10622,TC-FD08,,2022-02-08 15:13:54,,,,,,,Fire Doors,Fire,Un-assigned,,Ty Cornel,,00 - Ground Floor,Kitchen,
10623,TC-CP01,,2022-02-08 15:37:13,,,,,,,Call Point,Fire,Un-assigned,,Ty Cornel,,00 - Ground Floor,Porch,
10624,TC-CP02,,2022-02-08 15:44:52,,,,,,,Call Point,Fire,Un-assigned,Compliant with recommendations,Ty Cornel,,00 - Ground Floor,Kitchen,
10625,TC-CP03,,2022-02-08 15:57:21,,,,,,,Call Point,Fire,Un-assigned,,Ty Cornel,,00 - Ground Floor,Office,
10626,TC-WR01,,2022-02-08 16:20:56,,,,,,,Window Restrictor,Maintenance,Un-assigned,,Ty Cornel,,01 - First Floor,Bedroom 1,
10627,TC-WR02,,2022-02-08 16:22:39,,,,,,,Window Restrictor,Maintenance,Un-assigned,,Ty Cornel,,01 - First Floor,Bedroom 2,
10628,TC-WR03,,2022-02-08 16:24:51,,,,,,,Window Restrictor,Maintenance,Un-assigned,,Ty Cornel,,01 - First Floor,Bedroom 3,
10629,TC-WR04,,2022-02-08 16:30:40,,,,,,,Window Restrictor,Maintenance,Un-assigned,,Ty Cornel,,01 - First Floor,Bathroom,
10634,TC-DG01,,2022-02-09 11:21:02,,,,,,,Doorguard,Maintenance,Un-assigned,,Ty Cornel,,00 - Ground Floor,Porch,
10635,TC-DG03,,2022-02-09 12:21:02,,,,,,,Doorguard,Maintenance,Un-assigned,,Ty Cornel,,00 - Ground Floor,Kitchen,
10636,TC-DG04,,2022-02-09 12:24:58,,,,,,,Doorguard,Maintenance,Un-assigned,,Ty Cornel,,00 - Ground Floor,Office,
10637,TC-SHOWERANDTAP,,2022-02-09 15:20:23,,,,,,,Water Outlet,Water,Assigned,Compliant,Ty Cornel,,01 - First Floor,Bathroom,
10638,TC-CWO01,,2022-02-09 15:30:06,,,,,,,Water Outlet,Water,Assigned,Compliant,Ty Cornel,,00 - Ground Floor,Kitchen,
10639,TC-TMV01,,2022-02-09 15:32:32,,,,,,,TMV (Thermostatic Mixing Valve),Water,Un-assigned,,Ty Cornel,,01 - First Floor,Bathroom,
10640,TC-TMV02,,2022-02-09 15:59:20,,,,,,,TMV (Thermostatic Mixing Valve),Water,Un-assigned,,Ty Cornel,,00 - Ground Floor,Kitchen,
10659,BOSTOCK - FB01,,2022-02-14 18:14:21,,,,,,,Fire Blanket,Fire,Un-assigned,,Bostock,,Ground Floor,Kitchen,
10660,BOSTOCK - FE01,,2022-02-14 18:15:30,,,,,,,Fire Doors,Fire,Assigned,,Bostock,,Ground Floor,Hallway,
10661,BOSTOCK - LR01,,2022-02-14 18:19:11,,,,,,,Tumble Dryer,Fire,Un-assigned,,Bostock,,Ground Floor,Kitchen,
10662,BOSTOCK - EF01,,2022-02-14 18:20:25,,,,,,,Extractor Fan,Maintenance,Un-assigned,,Bostock,,Ground Floor,Kitchen,
10663,BOSTOCK - EF02,,2022-02-14 18:21:38,,,,,,,Extractor Fan,Maintenance,Un-assigned,,Bostock,,Ground Floor,Bathroom,
10664,BOSTOCK - Co201,,2022-02-14 18:23:31,,,,,,,C0 Monitor,Maintenance,Assigned,,Bostock,,Loft area ,Boiler Room,
10665,BOSTOCK - Co202,,2022-02-14 18:25:05,,,,,,,C0 Monitor,Maintenance,Assigned,,Bostock,,Ground Floor,Lounge,
10666,BOSTOCK - Co2B01,,2022-02-14 18:26:22,,,,,,,C0 Monitor,Maintenance,Assigned,,Bostock,,Loft area ,Boiler Room,
10667,BOSTOCK - Co2B02,,2022-02-14 18:27:30,,,,,,,C0 Monitor,Maintenance,Assigned,,Bostock,,Ground Floor,Lounge,
10668,BOSTOCK - HW01,,2022-02-14 18:30:43,,,,,,,Hot Water Distribution,Water,Un-assigned,,Bostock,,Ground Floor,Kitchen,
