Asset Id,Asset Unique Id,Parent Asset Id,Asset Type,Compliance Status,Site Name,Site Postcode,Sub Block Name,Zone Name,Location Name,
10491,2TW_2736_TOWYN WAY,,,,21 Towyn Way,CF38 1NB,,1st Floor ,LR Bedroom,
10557,EF3,,,,,,,,,
10568,8WD_2728_CO2,,,,80 Westwood Drive,CF46 5BL,,Ground Floor ,Hallway,
10573,TC-WR1,,,,,,,,,
10585,FHC_2719_TD,,,,Fairview House/White Cottage,CF40 2UF,,Ground Floor ,Utility Room,
10586,FHC_2719_EF,,,,Fairview House/White Cottage,CF40 2UF,,Ground Floor ,Utility Room,
10587,FHC_2719_EF1,,,,Fairview House/White Cottage,CF40 2UF,,1st Floor ,SB Bedroom/En suite,
10588,FHC_2719_EF2,,,,Fairview House/White Cottage,CF40 2UF,,1st Floor ,WC,
10589,FHC_2719_EF3,,,,Fairview House/White Cottage,CF40 2UF,,2nd Floor,Wetroom,
10590,TC_HWO1,,Water Outlet,,Ty Cornel,CF46 6NP,Kitchen ,00 - Ground Floor,Kitchen,
10590,TC_HWO1,,Water Outlet,,Ty Cornel,CF46 6NP,Ground Floor,00 - Ground Floor,Kitchen,
10592,TC_HWO2,,Water Outlet,,Ty Cornel,CF46 6NP,Ground Floor,00 - Ground Floor,Utility,
10592,TC_HWO2,,Water Outlet,,Ty Cornel,CF46 6NP,Kitchen ,00 - Ground Floor,Utility,
10593,TC_HWO3,,Water Outlet,Compliant,Ty Cornel,CF46 6NP,Ground Floor,00 - Ground Floor,WC,
10593,TC_HWO3,,Water Outlet,Compliant,Ty Cornel,CF46 6NP,Kitchen ,00 - Ground Floor,WC,
10594,BOSTOCK - CH01,,Central Heating,,Bostock,TF3 1BU,,Loft area ,,
10596,BOSTOCK - FEX01,,Fire Extinguisher,Compliant,Bostock,TF3 1BU,,Ground Floor,Hallway,
10597,BOSTOCK - FIRE BLANKET,,Fire Blanket,,Bostock,TF3 1BU,,Ground Floor,Kitchen,
10599,TC_HWO4,,Water Outlet,,Ty Cornel,CF46 6NP,Ground Floor,01 - First Floor,Bathroom,
10599,TC_HWO4,,Water Outlet,,Ty Cornel,CF46 6NP,Kitchen ,01 - First Floor,Bathroom,
10601,BOSTOCK - FA1,,Fire Alarm,Compliant,Bostock,TF3 1BU,,Ground Floor,Hallway,
10603,TC- DG02,,Doorguard,,Ty Cornel,CF46 6NP,Ground Floor,00 - Ground Floor,Kitchen,
10603,TC- DG02,,Doorguard,,Ty Cornel,CF46 6NP,Kitchen ,00 - Ground Floor,Kitchen,
10604,TC-C02,,C0 Monitor,,Ty Cornel,CF46 6NP,Kitchen ,01 - First Floor,Bedroom 2,
10604,TC-C02,,C0 Monitor,,Ty Cornel,CF46 6NP,Ground Floor,01 - First Floor,Bedroom 2,
10605,TC-FIRE BLANKET,,Fire Blanket,,Ty Cornel,CF46 6NP,Kitchen ,00 - Ground Floor,Kitchen,
10605,TC-FIRE BLANKET,,Fire Blanket,,Ty Cornel,CF46 6NP,Ground Floor,00 - Ground Floor,Kitchen,
10606,TC-EML01,,Emergency Lights,Compliant,Ty Cornel,CF46 6NP,Kitchen ,00 - Ground Floor,Porch,
10606,TC-EML01,,Emergency Lights,Compliant,Ty Cornel,CF46 6NP,Ground Floor,00 - Ground Floor,Porch,
10607,TC-EML02,,Emergency Lights,Not Compliant,Ty Cornel,CF46 6NP,Kitchen ,00 - Ground Floor,Lounge,
10607,TC-EML02,,Emergency Lights,Not Compliant,Ty Cornel,CF46 6NP,Ground Floor,00 - Ground Floor,Lounge,
10608,TC-EML03,,Emergency Lights,Compliant,Ty Cornel,CF46 6NP,Ground Floor,00 - Ground Floor,Kitchen,
10608,TC-EML03,,Emergency Lights,Compliant,Ty Cornel,CF46 6NP,Kitchen ,00 - Ground Floor,Kitchen,
10609,TC-EML04,,Emergency Lights,Compliant with recommendations,Ty Cornel,CF46 6NP,Kitchen ,00 - Ground Floor,Office,
10609,TC-EML04,,Emergency Lights,Compliant with recommendations,Ty Cornel,CF46 6NP,Ground Floor,00 - Ground Floor,Office,
10610,TC-EML05,,Emergency Lights,Compliant,Ty Cornel,CF46 6NP,Kitchen ,01 - First Floor,Stairs and Landing,
10610,TC-EML05,,Emergency Lights,Compliant,Ty Cornel,CF46 6NP,Ground Floor,01 - First Floor,Stairs and Landing,
10611,TC-EXF01,,Extractor Fan,,Ty Cornel,CF46 6NP,Ground Floor,00 - Ground Floor,Utility,
10611,TC-EXF01,,Extractor Fan,,Ty Cornel,CF46 6NP,Kitchen ,00 - Ground Floor,Utility,
10612,TC-FEX01,,Fire Extinguisher,Compliant with recommendations,Ty Cornel,CF46 6NP,Kitchen ,00 - Ground Floor,Porch,
10612,TC-FEX01,,Fire Extinguisher,Compliant with recommendations,Ty Cornel,CF46 6NP,Ground Floor,00 - Ground Floor,Porch,
10613,TC-FEX02,,Fire Extinguisher,,Ty Cornel,CF46 6NP,Kitchen ,00 - Ground Floor,Office,
10613,TC-FEX02,,Fire Extinguisher,,Ty Cornel,CF46 6NP,Ground Floor,00 - Ground Floor,Office,
10614,TC-LR01,,Tumble Dryer,Compliant,Ty Cornel,CF46 6NP,Kitchen ,00 - Ground Floor,Utility,
10614,TC-LR01,,Tumble Dryer,Compliant,Ty Cornel,CF46 6NP,Ground Floor,00 - Ground Floor,Utility,
10615,TC-FD01,,Fire Doors,,Ty Cornel,CF46 6NP,Ground Floor,00 - Ground Floor,Porch,
10615,TC-FD01,,Fire Doors,,Ty Cornel,CF46 6NP,Kitchen ,00 - Ground Floor,Porch,
10616,TC-FD02,,Fire Doors,,Ty Cornel,CF46 6NP,Kitchen ,00 - Ground Floor,Lounge,
10616,TC-FD02,,Fire Doors,,Ty Cornel,CF46 6NP,Ground Floor,00 - Ground Floor,Lounge,
